e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
,1,1,2,3,22,1,1,22,1,4,4,1,5,7,2,6,2,,7,1,6,3,3,8,6,7,3,4,9,6,6,5,7,5,1,5,,8,9,,,0,8,,,,7,4,,6,,,1,3,2,30,30,
,2,4,2,3,24,2,4,36,1,4,4,2,3,6,5,2,3,5,6,2,3,2,1,12,1,2,2,2,5,2,2,3,5,7,5,4,6,6,5,1,2,0,2,,4,,2,2,,5,1,,5,5,5,4,2,2
2,2,6,2,3,27,4,11,30,,5,5,1,5,7,7,2,1,2,3,1,1,5,4,12,7,7,9,9,7,9,6,6,6,9,1,7,9,4,10,10,4,5,7,4,6,3,,10,6,4,6,8,4,5,5,48,48,5
4,1,1,2,5,25,1,5,25,2,4,4,2,5,6,6,1,1,6,6,1,1,6,1,14,1,1,1,5,1,1,1,1,1,7,9,3,,2,2,,,,,,5,4,,,,,,,5,5,5,24,24,24
4,2,1,2,5,22,1,0,21,4,5,5,2,5,7,7,2,2,3,5,3,1,6,4,11,4,2,3,9,2,4,3,5,5,9,1,5,7,5,8,2,6,9,5,,,6,10,7,8,2,3,3,5,5,5,50,50,
5,5,6,2,5,24,1,0,26,2,4,4,2,4,6,6,4,3,2,6,2,5,2,1,14,2,1,1,5,2,1,2,2,2,7,7,4,,,1,0,3,,1,,2,2,2,,5,4,1,1,5,5,5,6,6,90
4,2,1,2,4,22,2,5,25,1,4,3,3,4,3,3,6,4,5,6,4,3,2,1,14,5,7,2,4,6,7,7,7,7,4,5,5,8,8,4,,,,5,,4,,1,,,4,3,,4,4,4,12,12,6
,2,4,2,2,23,3,7,24,2,5,5,3,5,6,3,3,6,4,5,5,1,4,4,12,1,6,4,5,5,5,5,7,7,5,1,7,10,10,10,,9,10,10,10,10,1,1,7,8,5,,10,3,5,3,36,12,24
2,1,1,2,3,24,2,4,26,2,2,3,3,3,1,4,1,6,1,4,7,1,6,4,9,9,9,9,9,9,9,9,9,9,9,9,7,,2,,6,6,,9,,10,10,3,10,,,,10,5,4,4,36,12,7
2,1,1,2,4,24,1,2,25,1,3,5,2,4,2,3,5,5,3,2,2,2,4,2,14,1,1,2,5,2,1,1,1,1,7,7,6,6,5,7,7,7,,6,,,9,3,,10,8,9,,4,4,4,21,6,14
4,2,1,8,3,22,1,3,23,1,3,3,1,3,6,6,2,2,5,6,1,1,4,1,14,3,5,1,5,6,7,7,7,7,2,2,7,,,9,,3,,8,,2,1,0,5,,1,,3,5,5,5,8,3,15
3,2,1,2,5,25,2,7,25,3,4,5,1,5,6,6,2,5,5,6,1,1,3,1,14,4,3,1,2,2,2,5,1,5,5,5,2,1,,4,,8,,,,5,3,3,,4,2,2,,4,5,4,50,50,62
5,2,1,2,4,28,3,2,27,1,5,5,1,5,7,7,1,1,2,7,1,1,1,1,14,1,7,3,3,1,1,3,3,3,7,7,,7,6,4,4,7,,2,,2,,,2,5,,,2,5,4,4,51,51,53
3,2,1,2,3,22,2,1,22,4,5,4,2,5,6,6,2,2,2,5,2,2,6,4,14,2,3,1,3,5,2,6,3,6,5,5,,4,4,8,,9,,7,,2,5,,,5,8,8,6,5,5,5,48,48,
4,2,1,2,4,22,2,7,21,2,2,2,1,3,7,5,6,2,7,7,2,4,6,3,14,1,6,1,3,4,2,2,1,3,6,9,6,9,9,7,7,10,,8,,8,5,6,7,10,1,3,8,5,5,5,9,4,8
3,2,1,2,4,23,3,1,,3,4,3,1,5,6,7,1,5,2,5,1,1,5,1,12,7,7,1,1,7,7,5,2,7,1,1,3,7,7,,,,7,9,,7,2,6,5,3,5,1,,4,4,4,33,33,34
3,2,4,1,5,19,1,0,18,4,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,
5,2,5,1,3,21,2,0,20,2,4,5,2,5,6,7,1,2,7,7,1,1,2,1,14,1,4,1,1,1,1,1,1,3,7,6,10,8,6,8,3,9,,4,,5,10,4,1,10,7,7,6,5,5,5,63,63,65
4,2,2,8,5,23,1,3,20,1,2,1,2,1,5,3,7,6,2,4,5,5,6,4,14,2,5,2,1,1,2,2,2,3,9,7,6,5,4,7,8,7,,4,,8,7,2,,2,4,4,2,4,4,5,2,2,50
4,2,1,2,4,24,3,10,25,2,5,3,2,3,6,2,6,2,7,7,1,5,1,1,12,6,9,2,3,7,7,7,7,7,1,1,4,8,5,4,,8,2,3,0,2,2,0,4,0,0,0,8,4,3,5,48,36,6
3,2,5,8,3,24,3,40,24,1,5,5,3,5,7,6,2,2,1,6,2,2,1,1,14,4,5,3,4,5,3,3,2,4,6,4,,,,,,,,,,,,,,,,,,5,4,4,120,120,
